DSDivision,District,Admin_Type,GADM_ID,GADM_ID_0,GADM_ID_1,GADM_ID_2
Addalachchenai,Ampara,Pradeshiya Sabha,200,215,1,1
Agalawatta,Kalutara,Pradeshiya Sabha,97,215,10,137
Akkaraipattu,Ampara,Pradeshiya Sabha,304,215,1,2
Akmeemana,Galle,,149,215,6,81
Akurana,Kandy,Pradeshiya Sabha,29,215,11,151
Akuressa,Matara,Pradeshiya Sabha,130,215,17,232
Alawwa,Kurunegala,Pradeshiya Sabha,131,215,14,186
Alayadiwembu,Ampara,Pradeshiya Sabha,110,215,1,3
Ambagamuwa,Nuwara Eliya,Pradeshiya Sabha,132,215,20,264
Ambalangoda,Galle,Urban Council,157,215,6,82
Ambalanthota,Hambantota,Pradeshiya Sabha,163,215,8,112
Ambanganga Korale,Matale,,,,,
Ambanpola,Kurunegala,,30,215,14,187
Ampara,Ampara,Urban Council,238,215,1,4
Anamaduwa,Puttalam,Pradeshiya Sabha,305,215,22,276
Angunakolapelessa,Hambantota,Pradeshiya Sabha,306,215,8,113
Arachchikattuwa PS,Puttalam,,,,,
Aranayaka,Kegalle,,14,215,12,171
Athuraliya,Matara,,286,215,17,233
Attanagalla,Gampaha,Pradeshiya Sabha,150,215,7,99
Ayagama,Ratnapura,,243,215,23,292
Badalkumbura,Moneragala,Pradeshiya Sabha,54,215,18,248
Baddegama,Galle,,188,215,6,83
Badulla,Badulla,Municipal Council,107,215,3,42
Balangoda,Ratnapura,Urban Council,192,215,23,293
Balapitiya,Galle,Pradeshiya Sabha,316,215,6,84
Bamunakotuwa,Kurunegala,,189,215,14,188
Bandaragama,Kalutara,Pradeshiya Sabha,98,215,10,138
Bandarawela,Badulla,Urban Council,87,215,3,43
Beliatta,Hambantota,Pradeshiya Sabha,15,215,8,114
Bentota,Galle,Pradeshiya Sabha,228,215,6,85
Beruwala,Kalutara,Urban Council,8,215,10,139
Bibile,Moneragala,Pradeshiya Sabha,287,215,18,249
Bingiriya,Kurunegala,,111,215,14,189
Biyagama,Gampaha,Pradeshiya Sabha,257,215,7,100
Bope-Poddala,Galle,,65,215,6,86
Bulathkohupitiya,Kegalle,Pradeshiya Sabha,201,215,12,172
Bulathsinhala,Kalutara,Pradeshiya Sabha,122,215,10,140
Buttala,Moneragala,Pradeshiya Sabha,31,215,18,250
Chilaw,Puttalam,Urban Council,9,215,22,278
Colombo,Colombo,Municipal Council,147,215,5,69
Damana,Ampara,,182,215,1,5
Dambulla,Matale,Municipal Council,159,215,16,222
Dankotuwa,Puttalam,Pradeshiya Sabha,32,215,22,279
Dehiattakandiya,Ampara,,112,215,1,6
Dehiovita,Kegalle,Pradeshiya Sabha,80,215,12,173
Dehiwala-Mount Lavinia,Colombo,Municipal Council,108,215,5,70
Delft,Jaffna,,317,215,9,123
Delthota,Kandy,,307,215,11,152
Deraniyagala,Kegalle,Pradeshiya Sabha,244,215,12,174
Devinuwara,Matara,Pradeshiya Sabha,202,215,17,234
Dickwella,Matara,Pradeshiya Sabha,308,215,17,235
Dimbulagala,Polonnaruwa,,81,215,21,269
Divulapitiya,Gampaha,Pradeshiya Sabha,66,215,7,101
Dodangoda,Kalutara,Pradeshiya Sabha,11,215,10,141
Doluwa,Kandy,,67,215,11,153
Dompe,Gampaha,,68,215,7,102
Eheliyagoda,Ratnapura,,245,215,23,294
Ehetuwewa,Kurunegala,,203,215,14,190
Elahera,Polonnaruwa,Pradeshiya Sabha,272,215,21,270
Elapatha,Ratnapura,,318,215,23,295
Ella,Badulla,Pradeshiya Sabha,204,215,3,44
Elpitiya,Galle,Pradeshiya Sabha,205,215,6,87
Embilipitiya,Ratnapura,Urban Council,270,215,23,296
Eragama,Ampara,,164,215,1,7
Eravur Pattu,Batticaloa,Municipal Council,94,215,4,57
Eravur Town,Batticaloa,Municipal Council,27,215,4,58
Galenbindunuwewa,Anuradhapura,Municipal Council,109,215,2,20
Galewela,Matale,Pradeshiya Sabha,75,215,16,223
Galgamuwa,Kurunegala,Pradeshiya Sabha,206,215,14,191
Galigamuwa,Kegalle,Pradeshiya Sabha,309,215,12,175
Galle Four Gravets,Galle,Municipal Council,300,215,6,88
Galnewa,Anuradhapura,Municipal Council,198,215,2,21
Gampaha,Gampaha,Municipal Council,196,215,7,103
Ganewatta,Kurunegala,,230,215,14,192
Ganga Ihala Korale,Kandy,,16,215,11,154
Giribawa,Kurunegala,,278,215,14,193
Godakawela,Ratnapura,Pradeshiya Sabha,284,215,23,297
Gomarankadawala,Trincomalee,Pradeshiya Sabha,256,215,24,309
Gonapinuwala,Galle,,,,,
Habaraduwa,Galle,Pradeshiya Sabha,55,215,6,89
Hakmana,Matara,Pradeshiya Sabha,123,215,17,236
Hali-Ela,Badulla,Pradeshiya Sabha,288,215,3,45
Hambantota,Hambantota,Municipal Council,276,215,8,115
Hanguranketha,Nuwara Eliya,,222,215,20,265
Hanwella,Colombo,Pradeshiya Sabha,258,215,5,71
Haputale,Badulla,Urban Council,88,215,3,46
Harispattuwa,Kandy,Pradeshiya Sabha,151,215,11,155
Hatharaliyadda,Kandy,,33,215,11,156
Hikkaduwa,Galle,Urban Council,118,215,6,90
Hildummulla,Badulla,,146,215,3,47
Hingurakgoda,Polonnaruwa,Pradeshiya Sabha,289,215,21,271
Homagama,Colombo,Pradeshiya Sabha,17,215,5,72
Horana,Kalutara,Urban Council,227,215,10,142
Horowpothana,Anuradhapura,Municipal Council,160,215,2,22
Ibbagamuwa,Kurunegala,Pradeshiya Sabha,113,215,14,194
Imaduwa,Galle,,82,215,6,91
Imbulpe,Ratnapura,,207,215,23,298
Ingiriya,Kalutara,Pradeshiya Sabha,290,215,10,143
Ipalogama,Anuradhapura,Municipal Council,199,215,2,23
Island South (Velanai),Jaffna,,56,215,9,124
Islands North (Kayts),Jaffna,,246,215,9,125
Ja-Ela,Gampaha,Urban Council,193,215,7,104
Jaffna,Jaffna,Municipal Council,301,215,9,126
K.F.G. & G. Korale,Kandy,Municipal Council,,,,
Kaduwela,Colombo,Municipal Council,50,215,5,73
Kahatagasdigiliya,Anuradhapura,Municipal Council,303,215,2,24
Kahawatta,Ratnapura,Pradeshiya Sabha,69,215,23,299
Kalawana,Ratnapura,,70,215,23,300
Kalmunai,Ampara,Municipal Council,93,215,1,8
Kalmunai Tamil Divisions,Ampara,Municipal Council,93,215,1,8
Kalpitiya,Puttalam,Pradeshiya Sabha,178,215,22,280
Kalutara,Kalutara,Urban Council,10,215,10,144
Kamburupitiya,Matara,Pradeshiya Sabha,106,215,17,237
Kandaketiya,Badulla,,92,215,3,48
Kandawali,Kilinochchi,,,,,
Kantalai,Trincomalee,Pradeshiya Sabha,71,215,24,310
Karachchi,Kilinochchi,,73,215,13,183
Karainagar,Jaffna,,,,,
Karandeniya,Galle,,223,215,6,92
Karativu,Ampara,,265,215,1,9
Karuwalagaswewa,Puttalam,,224,215,22,281
Katana,Gampaha,Pradeshiya Sabha,266,215,7,105
Katharagama,Moneragala,Pradeshiya Sabha,209,215,18,251
Kattankudy,Batticaloa,Urban Council,143,215,4,59
