divname,popvalue
Colombo,380946
Thimbirigasyaya,266154
Katana,222683
Kesbewa,209619
Kaduwela,209251
Nuwara Eliya,208190
Ambagamuwa,203717
Homagama,186050
Maharagama,185193
Ja-Ela,184666
Moratuwa,177563
Mahara,176870
Gampaha,171040
Panadura,163492
Biyagama,161300
Kolonnawa,161247
K.F.G. & G. Korale,160630
Wattala,160127
Attanagalla,154967
Minuwangoda,151661
Beruwala,144733
Negombo,144274
Mirigama,143663
Kalutara,141829
Kelaniya,134364
Dompe,130021
Divulapitiya,128048
Embilipitiya,119563
Vavuniya,116441
Sri Jayawardanapura Kotte,116366
Ratnapura,115223
Pannala,114438
Rathmalana,108716
Matara Four Gravets,108238
Kundasale,107180
Walapane,106434
Warakapola,106038
Galle Four Gravets,103246
Dehiwala-Mount Lavinia,101830
Mawanella,100192
Udunuwara,99235
Hikkaduwa,98589
Yatinuwara,97835
Kothmale,97509
Welimada,94399
Hanwella,94001
Horana,90690
Kurunegala,88944
Hanguranketha,87760
Kegalle,87637
Hali-Ela,87476
Bandaragama,86886
Udapalatha,86145
Kuruvita,85882
Pelmadulla,84966
Kalpitiya,81780
Pathadumbara,80558
Rideegama,80473
Manmunai North,80313
Harispattuwa,78880
Balangoda,77303
Uva Paranagama,76524
Ibbagamuwa,76344
Rambukkana,75925
Thamankaduwa,74224
Dehiovita,73991
Mathugama,73269
Kuliyapitiya West,71483
Puttalam,71091
Wennappuwa,70817
Badulla,70230
Panduwasnuwara,69888
Godakawela,69123
Galigamuwa,69104
Baddegama,68634
Matale,68451
Mahiyanganaya,67301
Polpithigama,67263
Weligama,66459
Aranayaka,66198
N. Palatha East,65671
Balapitiya,65346
Ambalanthota,64361
Kotapola,64012
Dehiattakandiya,63908
Akmeemana,63881
Eheliyagoda,63870
Dimbulagala,63349
Tangalle,62800
Galewela,61842
Ukuwela,61568
Thissamaharama,60982
Dambulla,60976
Hingurakgoda,60869
Elpitiya,60292
Bandarawela,60269
Chilaw,59890
Bulathsinhala,59787
Dankotuwa,59386
Nivithigala,59092
Alawwa,59082
Habaraduwa,59041
Ruwanwella,58892
Polgahawela,58762
Medadumbara,58721
Medirigiriya,57899
Nattandiya,57686
Pasbage Korale,57365
Yatiyanthota,57239
Wariyapola,56880
Mawathagama,56820
Mundalama,56294
Pasgoda,56142
Karandeniya,56128
Bingiriya,55763
Akurana,55744
Imbulpe,55546
Kinniya,55468
Dodangoda,55052
Padukka,54338
Poojapitiya,54172
Manmunai South and Eruvilpattu,53896
Pathahewaheta,53843
N. Palatha Central,53665
Uhana,52609
Nagoda,52414
Beliatta,52283
Kekirawa,52107
Samanthurai,51510
Dickwella,51314
Narammala,51244
Ganga Ihala Korale,51130
Thalawa,50919
Wellawaya,50768
Haputale,50735
Walallawita,50676
Mahawa,50576
Akuressa,49806
Rattota,49382
Pitabeddara,49320
Passara,49190
Mahawewa,48861
Udubaddawa,48800
Kalawana,48669
Minipe,48338
Galgamuwa,47844
Siyambalanduwa,47438
Buttala,47324
Kuliyapitiya East,46966
Hambantota,46757
Mallawapitiya,46575
Bentota,46442
Welipitiya,46171
Mulatiyana,46066
Palindanuwara,45911
Rideemaliyadda,45759
Ingiriya,45726
Bulathkohupitiya,45573
Doluwa,45270
Deraniyagala,44735
Millaniya,44476
Devinuwara,44199
Kolonna,43693
Yakkalamulla,43638
Madampe,43522
Ella,42894
Kahawatta,42468
Moneragala,42457
Angunakolapelessa,42426
Bope-Poddala,41612
Nochchiyagama,41601
Kantalai,41139
Galenbindunuwewa,40888
Medawachchiya,40469
Imaduwa,39944
Elahera,39908
Hildummulla,38223
