divname,popvalue
Addalachchenai,42165
Akkaraipattu,39223
Alayadiwembu,22411
Ampara,43720
Damana,38489
Dehiattakandiya,59628
Eragama,14373
Kalmunai,74222
Karativu,16781
Lahugala,8900
Mahaoya,20715
Navithanveli,18672
Ninthavur,26329
Padiyathalawa,18209
Pothuvil,34749
Sainthamarathu,25412
Samanthurai,60596
Thirukkovil,25187
Uhana,58276
Galenbindunuwewa,46527
Galnewa,34718
Horowpothana,36714
Ipalogama,38688
Kahatagasdigiliya,40137
Kebithigollewa,22227
Kekirawa,58879
Maha Vilachchiya,22183
Medawachchiya,46743
Mihinthale,35160
Nachchadoowa,25259
Nochchiyagama,49730
N. Palatha Central,60828
N. Palatha East,69590
Padaviya,22924
Palagala,33740
Palugaswewa,15557
Rajanganaya,33434
Rambewa,36426
Thalawa,57663
Thambuttegama,42143
Thirappane,26962
Badulla,74751
Bandarawela,65111
Ella,44763
Hildummulla,37482
Hali-Ela,90179
Haputale,48485
Kandaketiya,23189
Lunugala,31092
Mahiyanganaya,75327
Meegahakivula,19540
Passara,48576
Rideemaliyadda,51435
Soranathota,22495
Uva Paranagama,78899
Welimada,100434
Eravur Pattu,75136
Eravur Town,24632
Kattankudy,40237
Koralai Pattu (Valachchenai),23317
Koralai Pattu Central,25643
Koralai Pattu North,21512
Koralai Pattu South,26061
Koralai Pattu West (Oddamavadi),22144
Manmunai North,86028
Manmunai Pattu (Araipattai),30583
Manmunai South and Eruvilpattu,60694
Manmunai South-West,24673
Manmunai West,28392
Porativu Pattu,36090
Colombo,318048
Dehiwala-Mount Lavinia,87834
Hanwella,113477
Homagama,236179
Kaduwela,252057
Kesbewa,244062
Kolonnawa,190817
Maharagama,195355
Moratuwa,167160
Padukka,65167
Rathmalana,95162
Sri Jayawardanapura Kotte,107508
Thimbirigasyaya,236983
Akmeemana,78051
Ambalangoda,56783
Baddegama,74732
Balapitiya,67207
Bentota,49733
Bope-Poddala,50050
Elpitiya,64418
Galle Four Gravets,101159
Gonapinuwala,21686
Habaraduwa,62095
Hikkaduwa,101382
Imaduwa,44703
Karandeniya,62278
Nagoda,53467
Neluwa,28541
Niyagama,35238
Thawalama,32442
Welivitiya-Divithura,29123
Yakkalamulla,45683
Attanagalla,178816
Biyagama,186862
Divulapitiya,143871
Dompe,153137
Gampaha,196445
Ja-Ela,201154
Katana,233854
Kelaniya,134693
Mahara,207230
Minuwangoda,178401
Mirigama,164166
Negombo,141676
Wattala,174336
Ambalanthota,72664
Angunakolapelessa,48010
Beliatta,55743
Hambantota,57053
Katuwana,46548
Lunugamvehera,31424
Okewela,18919
Sooriyawewa,43002
Tangalle,71920
Thissamaharama,67805
Walasmulla,42099
Weeraketiya,41430
Delft,3819
Islands North (Kayts),9997
Island South (Velanai),16525
Jaffna,50759
Karainagar,9544
Nallur,68048
Thenmaradchy (Chavakachcheri),64685
Vadamaradchi (Point Pedro),47389
Vadamaradchy East,12738
Vadamaradchi South-West,45628
Valikamam East,73298
Valikamam North,29546
Valikamam South,52833
Valikamam South-West,52226
Valikamam West,46343
Agalawatta,36456
Bandaragama,108889
Beruwala,164507
Bulathsinhala,64635
Dodangoda,63705
Horana,112441
Ingiriya,53645
Kalutara,159225
Madurawala,34245
Mathugama,81064
Millaniya,52078
Palindanuwara,50382
Panadura,181724
Walallawita,54264
Akurana,63195
Delthota,30169
Doluwa,49480
Ganga Ihala Korale,54674
Harispattuwa,88002
Hatharaliyadda,29866
K.F.G. & G. Korale,157330
Kundasale,127278
Medadumbara,60783
Minipe,51577
Panvila,26186
Pasbage Korale,59662
Pathadumbara,88599
Pathahewaheta,58031
Poojapitiya,57879
Thumpane,37356
Udadumbara,22408
Udapalatha,91230
Udunuwara,110232
Yatinuwara,105962
Aranayaka,68147
Bulathkohupitiya,46813
Dehiovita,81441
Deraniyagala,45479
Galigamuwa,73942
Kegalle,90494
Mawanella,111307
Rambukkana,82373
Ruwanwella,63313
Warakapola,112583
Yatiyanthota,60711
Kandawali,23003
Karachchi,61137
Pachchilaipalli,8510
Poonakary,20225
Alawwa,63381
Ambanpola,22833
Bamunakotuwa,36023
Bingiriya,61976
Ehetuwewa,25695
Galgamuwa,54910
Ganewatta,39909
Giribawa,31320
Ibbagamuwa,84083
Kobeigane,35797
Kotavehera,21171
Kuliyapitiya East,53827
Kuliyapitiya West,77222
Kurunegala,80395
Mahawa,56985
Mallawapitiya,52398
Maspotha,34116
Mawathagama,65555
Narammala,55931
Nikaweratiya,40203
Panduwasnuwara,63492
Panduwasnuwara East (Katupotha),32291
Pannala,123551
Polgahawela,64917
Polpithigama,75119
Rasnayakapura,21838
Rideegama,88076
Udubaddawa,51972
Wariyapola,61141
Weerambugedara,34172
Madhu,7631
Mannar Town,50937
Manthai West,14630
Musali,8009
Nanaddan,17844
Ambanganga Korale,15567
Dambulla,72082
Galewela,69715
Laggala-Pallegama,12087
Matale,74529
Naula,30652
Pallepola,29488
Rattota,51156
Ukuwela,67542
Wilgamuwa,29298
Yatawatta,30113
Akuressa,52676
Athuraliya,32173
Devinuwara,47979
Dickwella,54370
Hakmana,31464
Kamburupitiya,40803
Kirinda-Puhulwella,20135
Kotapola,63072
Malimbada,34735
Matara Four Gravets,114970
Mulatiyana,49943
Pasgoda,58869
Pitabeddara,50827
Thihagoda,33202
Weligama,72511
Welipitiya,51615
Badalkumbura,39880
Bibile,40132
Buttala,52476
Katharagama,18148
Madulla,31188
Medagama,35611
Moneragala,49631
Sevanagala,41639
Siyambalanduwa,53059
Thanamalvila,26608
Wellawaya,59770
Manthai East,6929
Maritimepattu,28909
Oddusuddan,15658
Puthukudiyiruppu,23770
Thunukkai,9732
Welioya,6949
Ambagamuwa,203976
Hanguranketha,88055
Kothmale,100437
Nuwara Eliya,210968
Walapane,103152
Dimbulagala,79234
Elahera,43499
Hingurakgoda,63720
Lankapura,36424
Medirigiriya,64926
Thamankaduwa,82138
Welikanda,33394
Anamaduwa,38171
Arachchikattuwa PS,40737
Chilaw,62475
Dankotuwa,62196
Kalpitiya,86019
Karuwalagaswewa,23376
Madampe,47832
Mahakumbukkadawala,18576
Mahawewa,50628
Mundalama,61374
Nattandiya,62106
Nawagattegama,14412
Pallama,24379
Puttalam,82041
Vanathavilluwa,17399
Wennappuwa,68055
Ayagama,30584
Balangoda,81105
Eheliyagoda,70713
Elapatha,37606
Embilipitiya,133600
Godakawela,75885
Imbulpe,59283
Kahawatta,43026
Kalawana,50968
Kiriella,32457
Kolonna,45709
Kuruvita,95280
