seedName,seedType,seedPop
Hambantota,?,11134
Kegalle,UC,17139
Ampara,UC,17957
Ambalangoda,UC,19720
Avissawella,?,21597
Weligama,UC,21783
Chilaw,UC,24105
Gampola,UC,24283
Nuwara Eliya,MC,25388
Kurunegala,MC,28401
Wattala,UC,28852
Peliyagoda,UC,29880
Ja-Ela,UC,30910
Beruwala,UC,33053
Panadura,UC,33432
Kattankudy,?,34749
Matale,MC,36451
Kalutara,UC,37451
Badulla,MC,41005
Puttalam,UC,41761
Ratnapura,MC,46183
Vavuniya,UC,53143
Anuradhapura,MC,53151
Kolonnawa,UC,55341
Gampaha,MC,57461
Katunayake (Seeduwa-Katunayake),UC,73316
Matara Four Gravets,MC,76254
Eravur Town,MC,80313
Galle Four Gravets,MC,90270
Kalmunai,MC,94579
K.F.G. & G. Korale,MC,109343
Sri Jayawardanapura Kotte,MC,116366
Negombo,MC,121701
Moratuwa,MC,177563
Dehiwala-Mount Lavinia,MC,210546
Colombo,MC,647100
Jaffna,MC,106039
Chavakachcheri,UC,14780
Kilinochchi,?,17162
Kinniya,UC,58732
Mannar,UC,13520
Moneragala,?,6833
Mullaitivu,?,7200
Point Pedro,UC,12307
Polonnaruwa,?,5900
Trincomalee Town and Gravets,UC,60000
Valvettithurai,UC,8265
Kaduwela,MC,287394
Dambulla,MC,23767
Akkaraipattu,MC,30988
Bandarawela,MC,24060
